"","station_nbr","date","tmax","tmin","tavg","depart","dewpoint","wetbulb","heat","cool","sunrise","sunset","snowfall","preciptotal","stnpressure","sealevel","resultspeed","resultdir","avgspeed","TS","GR","RA","DZ","SN","SG","GS","PL","FG+","FG","BR","UP","HZ","FU","DU","SS","SQ","FZ","MI","PR","BC","BL","VC","year","quarter","weekday","daytime"
"1",1,2012-01-01,"52","31","42","M","36","40","23"," 0","-","-","M","0.05","29.78","29.92"," 3.6","20","4.6",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,"2012","Q1","Sunday",NA
"2",2,2012-01-01,"48","33","41","16","37","39","24"," 0","436","986","0.0","0.07","28.82","29.91"," 9.1","23","11.3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Sunday",550
"3",3,2012-01-01,"55","34","45"," 9","24","36","20"," 0","455","1040","0.0","0.00","29.77","30.47"," 9.9","31","10.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Sunday",585
"4",4,2012-01-01,"63","47","55"," 4","28","43","10"," 0","448","1062","0.0","0.00","29.79","30.48"," 8.0","35","8.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Sunday",614
"5",6,2012-01-01,"63","34","49"," 0","31","43","16"," 0","447","1062","0.0","0.00","29.95","30.47","14.0","36","13.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Sunday",615
"6",7,2012-01-01,"50","33","42","M","26","35","23"," 0","-","-","0.0","0.00","29.15","30.54","10.3","32","10.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Sunday",NA
"7",8,2012-01-01,"66","45","M","M","34","46","M","M","-","-","M","0.00","30.05","M","11.0","36","10.9",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Sunday",NA
"8",9,2012-01-01,"34","19","27","M","17","23","38"," 0","-","-","M","  T","29.34","30.09","22.8","30","22.5",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Sunday",NA
"9",10,2012-01-01,"73","53","63","M","55","58","2"," 0","443","1058","M","0.00","30.16","30.19"," 5.1","24","5.5",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Sunday",615
"10",11,2012-01-01,"72","48","60"," 7","54","56","5"," 0","444","1057","0.0","0.00","30.15","30.18"," 4.6","23","4.8",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Sunday",613
"11",12,2012-01-01,"72","48","60","M","54","57","5"," 0","-","-","0.0","0.00","30.15","30.19"," 4.4","25","4.8",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Sunday",NA
"12",13,2012-01-01,"38","18","28","M","12","21","37"," 0","-","-","M","0.00","24.60","30.59"," 2.5","16","6.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Sunday",NA
"13",14,2012-01-01,"50","34","42"," 5","25","35","23"," 0","459","1049","0.0","0.00","29.13","30.52","11.4","32","11.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Sunday",590
"14",15,2012-01-01,"48","26","37","16","35","38","28"," 0","438","981","0.0","0.09","29.53","29.89"," 2.5","17","3.8",0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,"2012","Q1","Sunday",543
